ProcessID,HaplotypeID
UMNEB383-08,Nectopsyche punctata_3[1]Costa Rica
UMNEB209-08,Nectopsyche punctata_4[1]Costa Rica
UMNEO190-09,Nectopsyche punctata_5[1]Brazil.Sao Paulo
UMNEO189-09,Nectopsyche punctata_6[1]Brazil.Minas Gerais
UMNEB213-08,Nectopsyche punctata_7[1]Venezuela
UMNEB212-08,Nectopsyche punctata_8[1]Venezuela
UMNEB217-08,Nectopsyche punctata_9[1]Bolivia
UMNEB216-08,Nectopsyche punctata_10[1]Bolivia
UMNEB211-08,Nectopsyche punctata_11[1]Costa Rica
HMTRI153-08,Adicella cremisa_1[4]Italy
HMTRI152-08,Adicella cremisa_1[4]Italy
HMTRI151-08,Adicella cremisa_1[4]Italy
HMTRI150-08,Adicella cremisa_1[4]Italy
KKCAD417-07,Adicella cremisa_2[2]|Italy
HMTRI149-08,Adicella cremisa_2[2]|Italy
HMTRI176-08,Adicella cremisa_3[1]Italy
BHMKK053-12,Triaenodes trivulcio_1[1]Thailand
INCAD236-10,Triplectides CJG sp. IN2_1[1]Indonesia
TRIFI542-11,Ceraclea perplexa_1[1]Finland
TRIFI543-11,Ceraclea perplexa_2[1]Finland
INCAD215-10,Triplectides CJG sp. IN1_1[2]Indonesia
INCAD008-10,Triplectides CJG sp. IN1_1[2]Indonesia
INCAD214-10,Triplectides CJG sp. IN1_2[1]Indonesia
MGCAD192-08,Ceraclea fulva_1[7]Mongolia
MGCAD193-08,Ceraclea fulva_1[7]Mongolia
MGCAD186-08,Ceraclea fulva_1[7]Mongolia
MGCAD191-08,Ceraclea fulva_1[7]Mongolia
MGCAD189-08,Ceraclea fulva_1[7]Mongolia
MGCAD190-08,Ceraclea fulva_1[7]Mongolia
MGCAD187-08,Ceraclea fulva_1[7]Mongolia
MGCAD188-08,Ceraclea fulva_2[1]Mongolia
TRIFI615-11,Ceraclea fulva_3[1]Finland
TRIFI614-11,Ceraclea fulva_4[1]Finland
MGCAD199-08,Ceraclea fulva_5[1]Mongolia
NZTRI346-11,Hudsonema alienum_1[1]New Zealand
KKCAD372-07,Hudsonema alienum_2[1]New Zealand
HMCAD624-09,Beraea maura_1[1]Italy
NZTRI081-09,Oecetis unicolor_1[6]New Zealand
NZTRI080-09,Oecetis unicolor_1[6]New Zealand
NZCAD049-05,Oecetis unicolor_1[6]New Zealand
KKCAD665-09,Oecetis unicolor_1[6]New Zealand
KKCAD661-09,Oecetis unicolor_1[6]New Zealand
NZTRI083-09,Oecetis unicolor_1[6]New Zealand
NZTRI082-09,Oecetis unicolor_2[2]New Zealand
KKCAD662-09,Oecetis unicolor_2[2]New Zealand
KKCAD664-09,Oecetis unicolor_3[2]New Zealand
NZTRI350-11,Oecetis unicolor_3[2]New Zealand
NZTRI351-11,Oecetis unicolor_4[1]New Zealand
KKCAD663-09,Oecetis unicolor_5[1]New Zealand
KKUMN202-10,Oecetis burtoni_1[1]Australia.Queensland
HMTRI387-09,Triplectides indicus_1[3]Thailand
HMTRI011-08,Triplectides indicus_1[3]Thailand
BHMKK083-12,Triplectides indicus_1[3]Thailand
HMCAD367-09,Triplectides indicus_2[2]Thailand
HMCAD366-09,Triplectides indicus_2[2]Thailand
HMKKT904-11,Triplectides indicus_3[1]Indonesia
DRCGT115-10,Leptocerina ramosa pinheyi_1[1]Democratic Republic of the Congo
UMNEB131-08,Brachysetodes trifidus_1[1]Chile
BHMKK148-12,Setodes fluvialis_1[1]Thailand
LTUT121-11,Triplectides altenogus_1[1]Australia.New South Wales
LTUT133-11,Triplectides altenogus_2[1]Australia.New South Wales
OFCAD330-08,Ceraclea punctata_1[3]NY
OFCAD329-08,Ceraclea punctata_1[3]NY
OFCAD328-08,Ceraclea punctata_1[3]NY
OFCAD312-08,Ceraclea punctata_2[1]ON
OFCAD310-08,Ceraclea punctata_3[1]ON
DRCGT098-09,Oecetis sp._1[4]Democratic Republic of the Congo
DRCGT024-09,Oecetis sp._1[4]Democratic Republic of the Congo
DRCGT042-09,Oecetis sp._1[4]Democratic Republic of the Congo
DRCGT080-09,Oecetis sp._1[4]Democratic Republic of the Congo
LTUT656-12,Oecetis sp._2[1]Australia.Victoria
DRCGT030-09,Oecetis sp._3[1]Democratic Republic of the Congo
LTUT579-12,Oecetis sp._4[1]Australia.Victoria
DRCGT040-09,Oecetis sp._5[1]Democratic Republic of the Congo
LTUT578-12,Oecetis sp._6[1]Australia.Victoria
DRCGT087-09,Oecetis sp._7[1]Democratic Republic of the Congo
NZTRI264-11,Triplectides obsoletus_1[2]New Zealand
NZTRI175-10,Triplectides obsoletus_1[2]New Zealand
OFTRI250-10,Triplectides obsoletus_2[1]New Zealand
NZCAD140-05,Triplectides obsoletus_3[1]New Zealand
KKUMN421-10,Oecetis testacea_1[3]Italy|Spain
HMTRI175-08,Oecetis testacea_1[3]Italy|Spain
HMTRI139-08,Oecetis testacea_1[3]Italy|Spain
CAUTR085-09,Oecetis testacea_2[2]China.Liaoning
CAUTR083-09,Oecetis testacea_2[2]China.Liaoning
HMKKT496-10,Oecetis testacea_3[2]Austria
HMKKT207-10,Oecetis testacea_3[2]Austria
TRIFI601-11,Oecetis testacea_4[1]Estonia
FBAQU108-09,Oecetis testacea_5[1]Germany
TRIFI600-11,Oecetis testacea_6[1]Estonia
UMNEO152-09,Nectopsyche aureovittata_1[1]Brazil.Minas Gerais
UMNEO154-09,Nectopsyche aureovittata_2[1]Brazil.Sao Paulo
UMNEO153-09,Nectopsyche aureovittata_3[1]Brazil.Minas Gerais
LTUT173-11,Triplectides_1[1]Australia.Queensland
LTUT171-11,Triplectides_2[1]Australia.Queensland
LTUT172-11,Triplectides_3[1]Australia.Queensland
LTUT115-11,Triplectides_4[1]Australia.New South Wales
KKUMN192-10,Nectopsyche separata_1[2]Brazil.Minas Gerais|Brazil.Sao Paulo
KKUMN191-10,Nectopsyche separata_1[2]Brazil.Minas Gerais|Brazil.Sao Paulo
UMNEO155-09,Nectopsyche bruchi_1[1]Brazil.Parana
OFTRI607-10,Nectopsyche bruchi_2[1]Argentina
KKUMN217-10,Triaenodes chirripo_1[1]Costa Rica
LTUT713-12,Triplectides ciuskus_1[2]Australia.New South Wales|Australia.Victoria
UMNEB836-08,Triplectides ciuskus_1[2]Australia.New South Wales|Australia.Victoria
VAQT565-09,Triplectides ciuskus_2[1]Australia.Queensland
LTUT183-11,Triplectides ciuskus_3[1]Australia.Queensland
UMNEB240-08,Nectopsyche n. sp. 3 VE_1[1]Venezuela
UMNEB128-08,Brachysetodes quadrifidus_1[7]Chile
UMNEB127-08,Brachysetodes quadrifidus_1[7]Chile
UMNEB125-08,Brachysetodes quadrifidus_1[7]Chile
UMNEB124-08,Brachysetodes quadrifidus_1[7]Chile
KKCAD332-07,Brachysetodes quadrifidus_1[7]Chile
UMNEB145-08,Brachysetodes quadrifidus_1[7]Chile
