ProcessID,HaplotypeID
FBCAD083-10,Silo nigricornis_2[4]France|Germany
FBCAD082-10,Silo nigricornis_2[4]France|Germany
HMCAD234-08,Silo nigricornis_3[1]Austria
HMTRI465-09,Silo nigricornis_4[1]Italy
HMCAD236-08,Silo nigricornis_5[1]Austria
UMNEA405-08,Dicosmoecus atripes_1[1]UT
HMCAD330-08,Stenophylax sequax_1[1]Germany
CNCAD488-07,Goera altofissura_1[1]China.Guangdong
CUTRI077-09,Hesperophylax designatus_1[1]MB
HMTRI013-08,Goera matuilla_1[2]Thailand
BHMKK127-12,Goera matuilla_1[2]Thailand
HMTRI461-09,Lithax niger_1[1]Italy
FBAQU268-09,Lithax niger_2[1]Germany
FBAQU363-09,Lithax niger_3[1]Germany
HMKKT806-10,Lithax niger_4[1]Austria
HMKKT741-10,Goera diversa_1[1]China.
HMKKT604-10,Silo pallipes_1[7]Austria
HMKKT603-10,Silo pallipes_1[7]Austria
HMKKT447-10,Silo pallipes_1[7]Austria
HMKKT289-10,Silo pallipes_1[7]Austria
HMKKT183-10,Silo pallipes_1[7]Austria
HMCAD342-08,Silo pallipes_1[7]Austria
HMKKT601-10,Silo pallipes_1[7]Austria
FBCAD087-10,Silo pallipes_2[2]Germany
FBCAD086-10,Silo pallipes_2[2]Germany
HMCAD341-08,Silo pallipes_3[2]Austria
HMCAD340-08,Silo pallipes_3[2]Austria
FBCAD085-10,Silo pallipes_4[1]Germany
TRIFI595-11,Silo pallipes_5[1]Estonia
HMCAD338-08,Silo pallipes_6[1]Austria
HMCAD339-08,Silo pallipes_7[1]Austria
FINNT003-12,Silo pallipes_8[1]Norway
HMKKT605-10,Silo pallipes_9[1]Austria
HMKKT602-10,Silo pallipes_10[1]Austria
OFCAD170-08,Goera stylata_1[3]VA
OFCAD169-08,Goera stylata_1[3]VA
OFCAD168-08,Goera stylata_1[3]VA
GBMH0353-06,Goera stylata_2[1]
PKCAD189-07,Goera stylata_3[1]KY
CAUTR041-09,Goera nr. interrogationis_1[4]China.Beijing Shi
CAUTR040-09,Goera nr. interrogationis_1[4]China.Beijing Shi
CAUTR039-09,Goera nr. interrogationis_1[4]China.Beijing Shi
CAUTR038-09,Goera nr. interrogationis_1[4]China.Beijing Shi
NBTRI882-08,Goera calcarata_1[84]NB
NBTRI878-08,Goera calcarata_1[84]NB
NBTRI875-08,Goera calcarata_1[84]NB
NBTRI865-08,Goera calcarata_1[84]NB
NBTRI864-08,Goera calcarata_1[84]NB
NBTRI856-08,Goera calcarata_1[84]NB
NBTRI847-08,Goera calcarata_1[84]NB
NBTRI846-08,Goera calcarata_1[84]NB
NBTRI843-08,Goera calcarata_1[84]NB
NBTRI836-08,Goera calcarata_1[84]NB
NBCAD573-08,Goera calcarata_1[84]NB
NBCAD696-08,Goera calcarata_1[84]NB
NBCAD695-08,Goera calcarata_1[84]NB
NBCAD702-08,Goera calcarata_1[84]NB
NBCAD687-08,Goera calcarata_1[84]NB
NBCAD668-08,Goera calcarata_1[84]NB
NBCAD661-08,Goera calcarata_1[84]NB
NBCAD577-08,Goera calcarata_1[84]NB
NBCAD585-08,Goera calcarata_1[84]NB
NBCAD582-08,Goera calcarata_1[84]NB
NBCAD723-08,Goera calcarata_1[84]NB
NBCAD691-08,Goera calcarata_1[84]NB
NBCAD660-08,Goera calcarata_1[84]NB
NBCAD586-08,Goera calcarata_1[84]NB
NBCAD583-08,Goera calcarata_1[84]NB
NBCAD581-08,Goera calcarata_1[84]NB
NBCAD564-08,Goera calcarata_1[84]NB
NBCAD754-08,Goera calcarata_1[84]NB
NBCAD740-08,Goera calcarata_1[84]NB
NBCAD715-08,Goera calcarata_1[84]NB
NBCAD709-08,Goera calcarata_1[84]NB
NBCAD708-08,Goera calcarata_1[84]NB
NBCAD699-08,Goera calcarata_1[84]NB
NBCAD693-08,Goera calcarata_1[84]NB
NBCAD682-08,Goera calcarata_1[84]NB
NBCAD674-08,Goera calcarata_1[84]NB
