ProcessID,HaplotypeID
HMTRI255-09,Chaetopterygopsis maclachlani_1[7]Austria
HMKKT550-10,Chaetopterygopsis maclachlani_1[7]Austria
HMKKT549-10,Chaetopterygopsis maclachlani_1[7]Austria
HMKKT548-10,Chaetopterygopsis maclachlani_1[7]Austria
FBAQU149-09,Chaetopterygopsis maclachlani_2[1]Germany
HMKKT250-10,Chaetopterygopsis maclachlani_3[1]Austria
EBTCH145-11,Limnephilus picturatus_1[40]MB|NU
DSTRI579-07,Limnephilus picturatus_1[40]MB|NU
ARCAQ399-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ380-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ376-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ372-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ365-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ362-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ358-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ354-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ350-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ333-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ326-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ314-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ313-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ226-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ224-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ220-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ216-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ211-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ209-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ207-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ195-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ162-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ160-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ157-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ154-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ153-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ141-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ136-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ132-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ129-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ128-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ126-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ115-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ112-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ081-08,Limnephilus picturatus_1[40]MB|NU
EBTCH345-11,Limnephilus picturatus_1[40]MB|NU
MHTRI010-06,Limnephilus picturatus_1[40]MB|NU
ARCAQ407-08,Limnephilus picturatus_1[40]MB|NU
ARCAQ426-09,Limnephilus picturatus_2[34]NU
