ProcessID,HaplotypeID
PKCAD149-07,Anisocentropus pyraloides_1[9]KY|SC
AMIH188-08,Anisocentropus pyraloides_2[1]MD
AMIH240-08,Anisocentropus pyraloides_3[1]MD
FLCAD111-09,Anisocentropus pyraloides_4[1]FL
FLCAD100-09,Anisocentropus pyraloides_5[1]FL
PKCAD790-08,Anisocentropus pyraloides_6[1]TN
PKCAD791-08,Anisocentropus pyraloides_7[1]AL
PKCAD046-07,Anisocentropus pyraloides_8[1]SC
PKCAD549-07,Anisocentropus pyraloides_9[1]SC
FLCAD093-08,Anisocentropus pyraloides_10[1]FL
FLCAD009-08,Anisocentropus pyraloides_11[1]FL
OFXZT015-10,Phylloicus mexicanus_1[1]Mexico
UMNEB031-08,Phylloicus mexicanus_2[1]AZ
RMCAD168-08,Phylloicus mexicanus_3[1]AZ
RMCAD169-08,Phylloicus mexicanus_4[1]AZ
OFCAD028-08,Phylloicus mexicanus_5[1]AZ
OFXZT014-10,Phylloicus mexicanus_6[1]Mexico
OFXZT016-10,Phylloicus mexicanus_7[1]Mexico
OFCAD026-08,Phylloicus mexicanus_8[1]AZ
OFCAD027-08,Phylloicus mexicanus_9[1]AZ
HMTRI004-08,Anisocentropus pan_1[1]Thailand
HMCAD631-09,Anisocentropus pan_2[1]Thailand
OFXZT085-10,Phylloicus bromeliarum_1[1]Brazil.
HMTRI007-08,Ganonema HM sp. TH1_1[1]Thailand
SOCAD008-10,Anisocentropus usambarensis_1[1]Nigeria
OFXZT071-10,Phylloicus adamsae_1[2]Peru
KKUMN016-10,Phylloicus adamsae_1[2]Peru
OFXZT070-10,Phylloicus adamsae_2[1]Peru
MPBZT067-09,Phylloicus XZ sp. BZ1_1[1]Brazil.Parana
UMNEB029-08,Phylloicus sp. 1 COL_1[1]Colombia
UMNEB028-08,Phylloicus sp. 1 COL_2[1]Colombia
OFXZT083-10,Phylloicus brevior_1[1]Guyana
OFXZT084-10,Phylloicus brevior_2[1]Guyana
KKUMN003-10,Phylloicus brevior_3[1]Brazil.Para
UMNEB030-08,Phylloicus maculatus_1[1]Mexico
KKUMN010-10,Phylloicus obliquus_1[1]Brazil.Santa Catarina
KJCAD012-09,Antipodoecia turneri_1[1]Australia.Queensland
NBTRI744-08,Psilotreta indecisa_1[1]NB
OFXZT088-10,Phylloicus cubanus_1[1]Cuba
UMNEC466-08,Banyallarga yungensis_1[2]Peru
UMNEB011-08,Banyallarga yungensis_1[2]Peru
OFXZT063-10,Banyallarga yungensis_2[1]Bolivia
OFXZT064-10,Banyallarga yungensis_3[1]Peru
OFCAD025-08,Heteroplectron californicum_1[1]CA
OFCAD024-08,Heteroplectron californicum_2[1]CA
OFCAD023-08,Heteroplectron californicum_3[1]CA
LTUT011-11,Anisocentropus valgus_1[1]Australia.New South Wales
LTUT012-11,Anisocentropus valgus_2[1]Australia.Victoria
INCAD129-10,Anisocentropus CJG sp. IN1_1[1]Indonesia
INCAD270-10,Anisocentropus CJG sp. IN1_2[1]Indonesia
UMNEB006-08,Anisocentropus semiflavus_1[1]Australia.Queensland
KKUMN026-10,Phylloicus paprockii_1[1]Brazil.Minas Gerais
KKUMN007-10,Phylloicus ephippium_1[1]Colombia
OFXZT095-10,Phylloicus ephippium_2[1]Ecuador
OFXZT094-10,Phylloicus ephippium_3[1]Ecuador
KKUMN019-10,Contulma spinosa_1[1]Ecuador
UMNEB007-08,Anisocentropus torulus_1[1]Australia.Queensland
UMNEB008-08,Anisocentropus torulus_2[1]Australia.Queensland
KKCAD361-07,Tasimia denticulata_1[1]Australia.Australian Capital Territory
OFXZT183-10,Microthremma patagonicum_1[1]Argentina
LTUT658-12,Anisocentropus sp._1[1]Australia.Victoria
DRCGT113-10,Anisocentropus sp._2[1]Democratic Republic of the Congo
OFXZT055-10,Banyallarga echinata_1[2]Peru
KKUMN011-10,Banyallarga echinata_1[2]Peru
KKUMN014-10,Banyallarga tapanti_1[1]Costa Rica
HMTRI060-08,Ganonema fuscipenne_1[1]Thailand
HMKKT902-11,Ganonema fuscipenne_2[1]Indonesia
OFXZT067-10,Phylloicus aculeatus_1[1]Chile
OFXZT068-10,Phylloicus aculeatus_2[1]Chile
OFXZT069-10,Phylloicus aculeatus_3[1]Chile
OFXZT066-10,Phylloicus aculeatus_4[1]Chile
